Environmental package	Structured comment name	Package item	Definition	Requirement	Expected value	Value syntax	Occurrence	Position	Preferred unit
miscellaneous natural or artificial environment	sulfide	sulfide	concentration of sulfide	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
miscellaneous natural or artificial environment	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
miscellaneous natural or artificial environment	water_current	water current	measurement of magnitude and direction of flow within a fluid	X	measurement value	{float} {unit}	1	1	cubic meter per second, knots
plant-associated	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	C	measurement value	{float} m	1	0	meter
plant-associated	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	C	measurement value	{float} m	1	0	
plant-associated	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	C	measurement value	{float} {unit}	1	0	meter
plant-associated	air_temp_regm	air temperature regimen	information about treatment involving an exposure to varying temperatures; should include the temperature, treatment duration, interval and total experimental duration; can include different temperature regimens	X	temperature value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}	m	1	degree Celsius
plant-associated	antibiotic_regm	antibiotic regimen	information about treatment involving antibiotic administration; should include the name of antibiotic, amount administered, treatment duration, interval and total experimental duration; can include multiple antibiotic regimens	X	antibiotic name;antibiotic amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	milligram
plant-associated	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
plant-associated	chem_mutagen	chemical mutagen	treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens	X	mutagen name;mutagen amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	milligram per liter
plant-associated	climate_environment	climate environment	treatment involving an exposure to a particular climate; can include multiple climates	X	climate name;treatment duration;interval;experimental duration	{text};{period};{interval};{period}	m	1	
plant-associated	fertilizer_regm	fertilizer regimen	information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens	X	fertilizer name;fertilizer amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	fungicide_regm	fungicide regimen	information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens	X	fungicide name;fungicide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	gaseous_environment	gaseous environment	use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens	X	gaseous compound name;gaseous compound amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	micromole per liter
plant-associated	gravity	gravity	information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments	X	gravity factor value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}	m	1	meter per square second, g
plant-associated	growth_hormone_regm	growth hormone regimen	information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens	X	growth hormone name;growth hormone amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	growth_med	growth media	information about growth media for growing the plants or tissue cultured samples	X	enumeration	[soil|liquid]	1	1	
plant-associated	herbicide_regm	herbicide regimen	information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens	X	herbicide name;herbicide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	host_age	host age	age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees	X	value	{float} {unit}	1	1	year, day, hour
plant-associated	host_common_name	host common name	common name of the host, e.g. human	X	common name	{text}	1	1	
plant-associated	host_disease_stat	host disease status	list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text	X	disease name or DO	{term}	m	1	
plant-associated	host_dry_mass	host dry mass	measurement of dry mass	X	measurement value	{float} {unit}	1	1	kilogram, gram
plant-associated	host_genotype	host genotype	observed genotype	X	genotype	{text}	1	1	
plant-associated	host_height	host height	the height of subject	X	measurement value	{float} {unit}	1	1	centimeter, millimeter, meter
plant-associated	host_infra_specific_name	host infra-specific name	taxonomic information about the host below subspecies level	X	name	{text}	1	1	
plant-associated	host_infra_specific_rank	host infra-specific rank	taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.	X	rank	{text}	1	1	
plant-associated	host_length	host length	the length of subject	X	measurement value	{float} {unit}	1	1	centimeter, millimeter, meter
plant-associated	host_life_stage	host life stage	description of life stage of host	X	stage	{text}	1	1	
plant-associated	host_phenotype	host phenotype	phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO	X	PATO	{term}	1	1	
plant-associated	host_taxid	host taxid	NCBI taxon id of the host, e.g. 9606	X	NCBI taxon identifier	{integer}	1	1	
plant-associated	host_tot_mass	host total mass	total mass of the host at collection, the unit depends on host	X	measurement value	{float} {unit}	1	1	kilogram, gram
plant-associated	host_wet_mass	host wet mass	measurement of wet mass	X	measurement value	{float} {unit}	1	1	kilogram, gram
plant-associated	humidity_regm	humidity regimen	information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens	X	humidity value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}	m	1	gram per cubic meter
plant-associated	mechanical_damage	mechanical damage	information about any mechanical damage exerted on the plant; can include multiple damages and sites	X	damage type;body site	{text};{text}	m	1	
plant-associated	mineral_nutr_regm	mineral nutrient regimen	information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple mineral nutrient regimens	X	mineral nutrient name;mineral nutrient amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
plant-associated	non_mineral_nutr_regm	non-mineral nutrient regimen	information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple non-mineral nutrient regimens	X	non-mineral nutrient name;non-mineral nutrient amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
plant-associated	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
plant-associated	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
plant-associated	pesticide_regm	pesticide regimen	information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment duration, interval and total experimental duration; can include multiple pesticide regimens	X	pesticide name;pesticide amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, mole per liter, milligram per liter
plant-associated	ph_regm	pH regimen	information about treatment involving exposure of plants to varying levels of pH of the growth media; can include multiple regimen	X	measurement value;treatment duration;interval;experimental duration	{float};{period};{interval};{period}	m	1	
plant-associated	plant_body_site	plant body site	name of body site that the sample was obtained from. For Plant Ontology (PO) (v 20) terms, see http://purl.bioontology.org/ontology/PO	X	PO	{term}	1	1	
plant-associated	plant_product	plant product	substance produced by the plant, where the sample was obtained from	X	product name	{text}	1	1	
plant-associated	radiation_regm	radiation regimen	information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment duration, interval and total experimental duration; can include multiple radiation regimens	X	radiation type name;radiation amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	becquerel
plant-associated	rainfall_regm	rainfall regimen	information about treatment involving an exposure to a given amount of rainfall; can include multiple regimens	X	measurement value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}	m	1	millimeter
plant-associated	salt_regm	salt regimen	information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment duration, interval and total experimental duration; can include multiple salt regimens	X	salt name;salt amount;treatment duration;interval;experimental duration	{text};{float} {unit};{period};{interval};{period}	m	1	gram, microgram, mole per liter, gram per liter
plant-associated	samp_salinity	sample salinity	salinity of sample, i.e. measure of total salt concentration	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
plant-associated	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
plant-associated	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
plant-associated	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
plant-associated	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
plant-associated	season_environment	seasonal environment	treatment involving an exposure to a particular season (e.g. winter, summer, rabi, rainy etc.)	X	seasonal environment name;treatment duration;interval;experimental duration	{text};{period};{interval};{period}	m	1	
plant-associated	standing_water_regm	standing water regimen	treatment involving an exposure to standing water during a plant's life span, types can be flood water or standing water; can include multiple regimens	X	standing water type;treatment duration;interval;experimental duration	{text};{period};{interval};{period}	m	1	
plant-associated	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
plant-associated	tiss_cult_growth_med	tissue culture growth media	description of plant tissue culture growth media used	X	PMID,DOI,url or free text	{PMID|DOI|URL}	1	1	
plant-associated	water_temp_regm	water temperature regimen	information about treatment involving an exposure to water with varying degree of temperature; can include multiple regimens	X	measurement value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}	m	1	degree Celsius
plant-associated	watering_regm	watering regimen	information about treatment involving an exposure to watering frequencies; can include multiple regimens	X	measurement value;treatment duration;interval;experimental duration	{float} {unit};{period};{interval};{period}	m	1	milliliter, liter
sediment	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	-	measurement value	{float} m	1	0	meter
sediment	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	M	measurement value	{float} m	1	0	
sediment	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	M	measurement value	{float} {unit}	1	0	meter
sediment	alkalinity	alkalinity	alkalinity, the ability of a solution to neutralize acids to the equivalence point of carbonate or bicarbonate	X	measurement value	{float} {unit}	1	1	milliequivalent per liter
sediment	alkyl_diethers	alkyl diethers	concentration of alkyl diethers 	X	measurement value	{float} {unit}	1	1	mole per liter
sediment	aminopept_act	aminopeptidase activity	measurement of aminopeptidase activity	X	measurement value	{float} {unit}	1	1	mole per liter per hour
sediment	ammonium	ammonium	concentration of ammonium	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	bacteria_carb_prod	bacterial carbon production	measurement of bacterial carbon production	X	measurement value	{float} {unit}	1	1	nanogram per hour
sediment	biomass	biomass	amount of biomass; should include the name for the part of biomass measured, e.g. microbial, total. can include multiple measurements	X	biomass type;measurement value	{text};{float} {unit}	m	1	ton, kilogram, gram
sediment	bishomohopanol	bishomohopanol	concentration of bishomohopanol 	X	measurement value	{float} {unit}	1	1	microgram per liter, microgram per gram
sediment	bromide	bromide	concentration of bromide 	X	measurement value	{float} {unit}	1	1	parts per million
sediment	calcium	calcium	concentration of calcium	X	measurement value	{float} {unit}	1	1	milligram per liter, micromole per liter, parts per million
sediment	carb_nitro_ratio	carbon/nitrogen ratio	ratio of amount or concentrations of carbon to nitrogen	X	measurement value	{float} {unit}	1	1	
sediment	chem_administration	chemical administration	list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI	X	CHEBI;timestamp	{term}; {timestamp}	m	1	
sediment	chloride	chloride	concentration of chloride 	X	measurement value	{float} {unit}	1	1	milligram per liter
sediment	chlorophyll	chlorophyll	concentration of chlorophyll	X	measurement value	{float} {unit}	1	1	milligram per cubic meter, microgram per liter
sediment	density	density	density of sample	X	measurement value	{float} {unit}	1	1	gram per cubic meter
sediment	diether_lipids	diether lipids	concentration of diether lipids; can include multiple types of diether lipids	X	diether lipid name;measurement value	{text};{float} {unit}	m	1	nanogram per liter
sediment	diss_carb_dioxide	dissolved carbon dioxide	concentration of dissolved carbon dioxide	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	diss_hydrogen	dissolved hydrogen	concentration of dissolved hydrogen	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	diss_inorg_carb	dissolved inorganic carbon	dissolved inorganic carbon concentration	X	measurement value	{float} {unit}	1	1	microgram per liter
sediment	diss_org_carb	dissolved organic carbon	concentration of dissolved organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	diss_org_nitro	dissolved organic nitrogen	dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2	X	measurement value	{float} {unit}	1	1	microgram per liter, milligram per liter
sediment	diss_oxygen	dissolved oxygen	concentration of dissolved oxygen	X	measurement value	{float} {unit}	1	1	micromole per kilogram
sediment	glucosidase_act	glucosidase activity	measurement of glucosidase activity	X	measurement value	{float} {unit}	1	1	mol per liter per hour
sediment	magnesium	magnesium	concentration of magnesium	X	measurement value	{float} {unit}	1	1	mole per liter, milligram per liter, parts per million
sediment	mean_frict_vel	mean friction velocity	measurement of mean friction velocity	X	measurement value	{float} {unit}	1	1	meter per second
sediment	mean_peak_frict_vel	mean peak friction velocity	measurement of mean peak friction velocity	X	measurement value	{float} {unit}	1	1	meter per second
sediment	methane	methane	methane (gas) amount or concentration at the time of sampling	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	misc_param	miscellaneous parameter	any other measurement performed or parameter collected, that is not listed here	X	parameter name;measurement value	{text};{float} {unit}	m	1	
sediment	n_alkanes	n-alkanes	concentration of n-alkanes; can include multiple n-alkanes	X	n-alkane name;measurement value	{text};{float} {unit}	m	1	micromole per liter
sediment	nitrate	nitrate	concentration of nitrate	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	nitrite	nitrite	concentration of nitrite	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	nitro	nitrogen	concentration of nitrogen (total)	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	org_carb	organic carbon	concentration of organic carbon	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	org_matter	organic matter	concentration of organic matter 	X	measurement value	{float} {unit}	1	1	microgram per liter
sediment	org_nitro	organic nitrogen	concentration of organic nitrogen	X	measurement value	{float} {unit}	1	1	microgram per liter
sediment	organism_count	organism count	total count of any organism per gram or volume of sample, should include name of organism followed by count; can include multiple organism counts	X	organism name;measurement value	{text};{float} {unit}	m	1	number of organism per cubic meter
sediment	oxy_stat_samp	oxygenation status of sample	oxygenation status of sample	X	enumeration	[aerobic|anaerobic]	1	1	
sediment	part_org_carb	particulate organic carbon	concentration of particulate organic carbon	X	measurement value	{float} {unit}	1	1	microgram per liter
sediment	particle_class	particle classification	particles are classified, based on their size, into six general categories:clay, silt, sand, gravel, cobbles, and boulders; should include amount of particle preceded by the name of the particle type; can include multiple values	X	particle name;measurement value	{text};{float} {unit}	m	1	micrometer
sediment	perturbation	perturbation	type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types	X	perturbation type name;time interval	{text};{interval}	m	1	
sediment	petroleum_hydrocarb	petroleum hydrocarbon	concentration of petroleum hydrocarbon	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	ph	pH	pH measurement	X	measurement value	{float}	1	1	
sediment	phaeopigments	phaeopigments	concentration of phaeopigments; can include multiple phaeopigments	X	phaeopigment name;measurement value	{text};{float} {unit}	m	1	milligram per cubic meter
sediment	phosphate	phosphate	concentration of phosphate	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	phosplipid_fatt_acid	phospholipid fatty acid	concentration of phospholipid fatty acids; can include multiple values	X	phospholipid fatty acid name;measurement value	{text};{float} {unit}	m	1	mole per gram, mole per liter
sediment	porosity	porosity	porosity of deposited sediment is volume of voids divided by the total volume of sample	X	measurement value	{float} {unit}	1	1	percentage
sediment	potassium	potassium	concentration of potassium 	X	measurement value	{float} {unit}	1	1	parts per million
sediment	pressure	pressure	pressure to which the sample is subject, in atmospheres	X	measurement value	{float} {unit}	1	1	atmosphere
sediment	redox_potential	redox potential	redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	X	measurement value	{float} {unit}	1	1	millivolt
sediment	salinity	salinity	salinity measurement	X	measurement value	{float} {unit}	1	1	practical salinity unit, percentage
sediment	samp_store_dur	sample storage duration	duration for which sample was stored	X	time interval	{interval}	1	1	
sediment	samp_store_loc	sample storage location	location at which sample was stored, usually name of a specific freezer/room	X	location name	{text}	1	1	
sediment	samp_store_temp	sample storage temperature	temperature at which sample was stored, e.g. -80 degree Celsius	X	measurement value	{float} {unit}	1	1	degree Celsius
sediment	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	1	millliter, gram, milligram
sediment	sediment_type	sediment type	information about the sediment type based on major constituents	X	enumeration	[biogenous|cosmogenous|hydrogenous|lithogenous]	1	1	
sediment	silicate	silicate	concentration of silicate	X	measurement value	{float} {unit}	1	1	micromole per liter
sediment	sodium	sodium	sodium concentration	X	measurement value	{float} {unit}	1	1	parts per million
sediment	sulfate	sulfate	concentration of sulfate	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
sediment	sulfide	sulfide	concentration of sulfide	X	measurement value	{float} {unit}	1	1	micromole per liter, milligram per liter
sediment	temp	temperature	temperature of the sample at time of sampling	X	measurement value	{float} {unit}	1	1	degree Celsius
sediment	tidal_stage	tidal stage	stage of tide	X	enumeration	[low|high]	1	1	
sediment	tot_carb	total carbon	total carbon content	X	measurement value	{float} {unit}	1	1	microgram per liter
sediment	tot_nitro	total nitrogen	total nitrogen content of the sample	X	measurement value	{float} {unit}	1	1	microgram per liter, micromole per liter
sediment	tot_org_carb	total organic carbon	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	X	measurement value	{float} {unit}	1	1	gram Carbon per kilogram sample material
sediment	turbidity	turbidity	turbidity measurement	X	measurement value	{float} {unit}	1	1	formazin turbidity unit, formazin nephelometric units
sediment	water_content	water content	water content measurement	X	measurement value	{float} {unit}	1	1	gram per gram or cubic centimeter per cubic centimeter
soil	alt	altitude	the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air	C	measurement value	{float} m	1	0	meter
soil	depth	depth	depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples	M	measurement value	{float} m	1	0	
soil	elev	elevation	the elevation of the sampling site as measured by the vertical distance from mean sea level	M	measurement value	{float} {unit}	1	0	meter
soil	cur_land_use	current land use	present state of sample site	X	enumeration	[cities|farmstead|industrial areas|roads/railroads|rock|sand|gravel|mudflats|salt flats|badlands|permanent snow or ice|saline seeps|mines/quarries|oil waste areas|small grains|row crops|vegetable crops|horticultural plants (e.g. tulips)|marshlands (grass,sedges,rushes)|tundra (mosses,lichens)|rangeland|pastureland (grasslands used for livestock grazing)|hayland|meadows (grasses,alfalfa,fescue,bromegrass,timothy)|shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)|successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)|shrub crops (blueberries,nursery ornamentals,filberts)|vine crops (grapes)|conifers (e.g. pine,spruce,fir,cypress)|hardwoods (e.g. oak,hickory,elm,aspen)|intermixed hardwood and conifers|tropical (e.g. mangrove,palms)|rainforest (evergreen forest receiving >406 cm annual rainfall)|swamp (permanent or semi-permanent water body dominated by woody plants)|crop trees (nuts,fruit,christmas trees,nursery trees)]	1	1	
soil	cur_vegetation	current vegetation	vegetation classification from one or more standard classification systems, or agricultural crop	X	current vegetation type	{text}	1	2	
soil	cur_vegetation_meth	current vegetation method	reference or method used in vegetation classification 	X	PMID,DOI or url	{PMID|DOI|URL}	1	3	
soil	previous_land_use	history/previous land use	previous land use and dates	X	land use name;date	{text};{timestamp}	1	4	
soil	previous_land_use_meth	history/previous land use method	reference or method used in determining previous land use and dates	X	PMID,DOI or url	{PMID|DOI|URL}	1	5	
soil	crop_rotation	history/crop rotation	whether or not crop is rotated, and if yes, rotation schedule	X	crop rotation status;schedule	{boolean};Rn/{timestamp}/{period}	1	6	
soil	agrochem_addition	history/agrochemical additions	addition of fertilizers, pesticides, etc. - amount and time of applications	X	agrochemical name;agrochemical amount;timestamp	{text};{float} {unit};{timestamp}	m	7	gram, mole per liter, milligram per liter
soil	tillage	history/tillage	note method(s) used for tilling	X	enumeration	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	m	8	
soil	fire	history/fire	historical and/or physical evidence of fire	X	date	{timestamp}	1	9	
soil	flooding	history/flooding	historical and/or physical evidence of flooding	X	date	{timestamp}	1	10	
soil	extreme_event	history/extreme events	unusual physical events that may have affected microbial populations	X	date	{timestamp}	1	11	
soil	horizon	horizon	specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath	X	enumeration	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	1	13	
soil	horizon_meth	horizon method	reference or method used in determining the horizon	X	PMID,DOI or url	{PMID|DOI|URL}	1	14	
soil	sieving	composite design/sieving (if any)	collection design of pooled samples and/or sieve size and amount of sample sieved 	X	design name and/or size;amount	{{text}|{float} {unit}};{float} {unit}	1	15	
soil	water_content	water content	water content measurement	X	measurement value	{float} {unit}	1	16	gram per gram or cubic centimeter per cubic centimeter
soil	water_content_soil_meth	water content method	reference or method used in determining the water content of soil	X	PMID,DOI or url	{PMID|DOI|URL}	1	17	
soil	samp_vol_we_dna_ext	sample volume or weight for DNA extraction	volume (mL) or weight (g) of sample processed for DNA extraction	X	measurement value	{float} {unit}	1	18	millliter, gram, milligram
soil	pool_dna_extracts	pooling of DNA extracts (if done)	were multiple DNA extractions mixed? how many?	X	pooling status;measurement value	{boolean};{float} {unit}	1	19	gram, milliliter, microliter
soil	store_cond	storage conditions (fresh/frozen/other)	explain how and for how long the soil sample was stored before DNA extraction.	X	storage condition type;duration	{text};{period}	1	20	
soil	link_climate_info	link to climate information	link to climate resource	X	PMID,DOI or url	{PMID|DOI|URL}	1	21	
soil	annual_season_temp	mean annual and seasonal temperature	mean annual and seasonal temperature	X	measurement value	{float} {unit}	1	22	degree Celsius
soil	annual_season_precpt	mean annual and seasonal precipitation	mean annual and seasonal precipitation	X	measurement value	{float} {unit}	1	23	millimeter
soil	link_class_info	link to classification information	link to digitized soil maps or other soil classification information	X	PMID,DOI or url	{PMID|DOI|URL}	1	24	
soil	fao_class	soil_taxonomic/FAO classification	soil classification from the FAO World Reference Database for Soil Resources. The list can be found at http://www.fao.org/nr/land/sols/soil/wrb-soil-maps/reference-groups	X	enumeration	{term}	1	25	
soil	local_class	soil_taxonomic/local classification	soil classification based on local soil classification system	X	local classification name	{text}	1	26	
soil	local_class_meth	soil_taxonomic/local classification method	reference or method used in determining the local soil classification 	X	PMID,DOI or url	{PMID|DOI|URL}	1	27	
soil	soil_type	soil type	soil series name or other lower-level classification	X	soil type name	{text}	1	28	
soil	soil_type_meth	soil type method	reference or method used in determining soil series name or other lower-level classification	X	PMID,DOI or url	{PMID|DOI|URL}	1	29	
soil	slope_gradient	slope gradient	commonly called 'slope'. The angle between ground surface and a horizontal line (in percent). This is the direction that overland water would flow. This measure is usually taken with a hand level meter or clinometer	X	measurement value	{float} {unit}	1	30	percentage
soil	slope_aspect	slope aspect	the direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees); e.g., NW or 315 degrees. This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.	X	measurement value	{float} {unit}	1	31	degree
soil	profile_position	profile position	cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas	X	enumeration	[summit|shoulder|backslope|footslope|toeslope]	1	32	
soil	drainage_class	drainage classification	drainage classification from a standard system such as the USDA system	X	enumeration	[very poorly|poorly|somewhat poorly|moderately well|well|excessively drained]	1	33	
soil	texture	texture	the relative proportion of different grain sizes of mineral particles in a soil, as described using a standard system; express as % sand (50 um to 2 mm), silt (2 um to 50 um), and clay (<2 um) with textural name (e.g., silty clay loam) optional.	X	measurement value	{float} {unit}	1	34	
soil	texture_meth	texture method	reference or method used in determining soil texture	X	PMID,DOI or url	{PMID|DOI|URL}	1	35	
soil	ph	pH	pH measurement	X	measurement value	{float}	1	36	
soil	ph_meth	pH method	reference or method used in determining pH	X	PMID,DOI or url	{PMID|DOI|URL}	1	37	
soil	tot_org_carb	total organic carbon	Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content	X	measurement value	{float} {unit}	1	38	gram Carbon per kilogram sample material
soil	tot_org_c_meth	total organic carbon method	reference or method used in determining total organic carbon	X	PMID,DOI or url	{PMID|DOI|URL}	1	39	
soil	tot_nitro	total nitrogen	total nitrogen content of the sample	X	measurement value	{float} {unit}	1	40	microgram per liter, micromole per liter
soil	tot_n_meth	total nitrogen method	reference or method used in determining the total nitrogen	X	PMID,DOI or url	{PMID|DOI|URL}	1	41	
soil	microbial_biomass	microbial biomass	the part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 micrometer. If you keep this, you would need to have correction factors used for conversion to the final units	X	measurement value	{float} {unit}	1	42	ton, kilogram, gram per kilogram soil 
soil	microbial_biomass_meth	microbial biomass method	reference or method used in determining microbial biomass	X	PMID,DOI or url	{PMID|DOI|URL}	1	43	
soil	link_addit_analys	links to additional analysis	link to additional analysis results performed on the sample	X	PMID,DOI or url	{PMID|DOI|URL}	1	44	
soil	extreme_salinity	extreme_unusual_properties/salinity	measured salinity 	X	measurement value	{float} {unit}	1	45	millisiemens per meter
soil	salinity_meth	extreme_unusual_properties/salinity method	reference or method used in determining salinity	X	PMID,DOI or url	{PMID|DOI|URL}	1	46	
soil	heavy_metals	extreme_unusual_properties/heavy metals	heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations	X	heavy metal name;measurement value	{text};{float} {unit}	m	47	microgram per gram
soil	heavy_metals_meth	extreme_unusual_properties/heavy metals method	reference or method used in determining heavy metals	X	PMID,DOI or url	{PMID|DOI|URL}	1	48	
